"Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant","Site_ID","scale","driver","Lag_time","Lag_unit","record_start","record_end","n_grid","n_joint","n_valid_triplets","target_end","target_start"
43,0.165736707708669,0.171651966998124,0.503110000185515,0.595702222493575,0.0166751847200851,0.0717623162059008,2.75207402413261,2.68243768598719,18.7557013090636,22.207495279591,FALSE,FALSE,"US-Var","biweekly","Soil",86,"weeks","2000-10-30","2021-10-04",547,537,483,"2021-10-04","2002-07-08"
44,0.159339758012492,0.171651966998124,0.475312116787132,0.595702222493575,-0.00753016395762056,0.0717623162059008,2.7464664433553,2.679601029679,17.7381674183067,22.231004388177,FALSE,FALSE,"US-Var","biweekly","Soil",88,"weeks","2000-10-30","2021-10-04",547,537,482,"2021-10-04","2002-07-22"
45,0.145803732257505,0.171651966998124,0.471321447893539,0.595702222493575,-0.00141724958960329,0.0717623162059008,2.74994984109092,2.68328247001026,17.5651074071131,22.2005036425143,FALSE,FALSE,"US-Var","biweekly","Soil",90,"weeks","2000-10-30","2021-10-04",547,537,481,"2021-10-04","2002-08-05"
46,0.162655609197522,0.171651966998124,0.463253607005926,0.595702222493575,0.0358712763609704,0.0717623162059008,2.75507100695792,2.68252259447475,17.2693273100514,22.2067923573339,FALSE,FALSE,"US-Var","biweekly","Soil",92,"weeks","2000-10-30","2021-10-04",547,537,480,"2021-10-04","2002-08-19"
47,0.170982907360786,0.171651966998124,0.471337686375588,0.595702222493575,0.0831450303586449,0.0717623162059008,2.75472570043132,2.68969985248772,17.5238023655184,22.1475352330709,FALSE,FALSE,"US-Var","biweekly","Soil",94,"weeks","2000-10-30","2021-10-04",547,537,479,"2021-10-04","2002-09-02"
48,0.166434429605295,0.171651966998124,0.450278095641733,0.595702222493575,0.11195017015728,0.0717623162059008,2.74746775495581,2.69088326891084,16.7334681828836,22.1377950272325,FALSE,FALSE,"US-Var","biweekly","Soil",96,"weeks","2000-10-30","2021-10-04",547,537,478,"2021-10-04","2002-09-16"
0,0.374230209825976,0.420013798105177,0.690497987783442,1.09264200384346,-0.383465503188063,0.119781958936124,3.01942060757576,2.63763321452168,26.1786962638268,41.4250926864221,FALSE,FALSE,"US-Var","monthly","VPD",0,"months","2000-11-01","2021-10-01",252,247,242,"2021-10-01","2000-12-01"
1,0.31882669693972,0.420013798105177,0.620473606355041,1.09264200384346,-0.281867287617687,0.119781958936124,3.00360164867315,2.64019153671941,23.5010830739203,41.3849521387805,FALSE,FALSE,"US-Var","monthly","VPD",1,"months","2000-11-01","2021-10-01",252,247,241,"2021-10-01","2001-03-01"
2,0.293941581993149,0.420013798105177,0.663149059543682,1.09264200384346,-0.0314479227572093,0.119781958936124,2.99587908108489,2.64337550728009,25.0872060256786,41.3351035762505,FALSE,FALSE,"US-Var","monthly","VPD",2,"months","2000-11-01","2021-10-01",252,247,237,"2021-10-01","2001-04-01"
3,0.268785939375836,0.420013798105177,0.65296540335734,1.09264200384346,-0.0775985345260121,0.119781958936124,3.00041360938108,2.6267224253731,24.8585612644089,41.5971628097804,FALSE,FALSE,"US-Var","monthly","VPD",3,"months","2000-11-01","2021-10-01",252,247,236,"2021-10-01","2001-03-01"
4,0.252722885838006,0.420013798105177,0.661891547026447,1.09264200384346,-0.130471914541813,0.119781958936124,2.98805036056475,2.62375059663587,25.2269231639286,41.6442784327303,FALSE,FALSE,"US-Var","monthly","VPD",4,"months","2000-11-01","2021-10-01",252,247,235,"2021-10-01","2001-04-01"
