"Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant","Site_ID","scale","driver","Lag_time","Lag_unit","record_start","record_end","n_grid","n_joint","n_valid_triplets","target_end","target_start"
0,0.201833838469941,0.175935126346985,0.489939279863492,0.64415321781947,-0.237515329996216,0.0727854109449476,2.91763174631428,2.6519187799013,18.4748976317339,24.2900809293806,FALSE,TRUE,"US-Var","biweekly","VPD",0,"weeks","2000-10-30","2021-10-04",547,537,529,"2021-10-04","2000-11-13"
1,0.180883583921408,0.175935126346985,0.449153652505544,0.64415321781947,-0.339086676456144,0.0727854109449476,2.92899777314467,2.65378532447028,16.9250183262355,24.2729964582967,FALSE,TRUE,"US-Var","biweekly","VPD",2,"weeks","2000-10-30","2021-10-04",547,537,528,"2021-10-04","2000-11-27"
2,0.156650420896497,0.175935126346985,0.42508290640506,0.64415321781947,-0.216500912906744,0.0727854109449476,2.92884313441062,2.65838811565614,15.9902500278874,24.2309696626251,FALSE,FALSE,"US-Var","biweekly","VPD",4,"weeks","2000-10-30","2021-10-04",547,537,521,"2021-10-04","2000-12-11"
3,0.15243725852167,0.175935126346985,0.435391691746592,0.64415321781947,-0.0560221222178315,0.0727854109449476,2.92404277324814,2.65649374239641,16.3897126802123,24.2482490185873,FALSE,FALSE,"US-Var","biweekly","VPD",6,"weeks","2000-10-30","2021-10-04",547,537,518,"2021-10-04","2000-12-25"
4,0.135264011405948,0.175935126346985,0.390209520723582,0.64415321781947,-0.0123632941361399,0.0727854109449476,2.92179035807705,2.65460968665291,14.6993180460959,24.2654587248062,FALSE,FALSE,"US-Var","biweekly","VPD",8,"weeks","2000-10-30","2021-10-04",547,537,515,"2021-10-04","2001-01-08"
5,0.172797707106836,0.175935126346985,0.454534088791038,0.64415321781947,-0.0159131912725054,0.0727854109449476,2.92051762432863,2.65143590010618,17.1429408786702,24.294504641567,FALSE,FALSE,"US-Var","biweekly","VPD",10,"weeks","2000-10-30","2021-10-04",547,537,514,"2021-10-04","2001-03-19"
6,0.13244758736506,0.175935126346985,0.395660759822657,0.64415321781947,-0.0521812016837625,0.0727854109449476,2.91726186425467,2.65511885044125,14.901809753522,24.2608054141312,FALSE,FALSE,"US-Var","biweekly","VPD",12,"weeks","2000-10-30","2021-10-04",547,537,514,"2021-10-04","2001-03-19"
7,0.155049254521725,0.175935126346985,0.409018572991352,0.64415321781947,-0.0693244975260864,0.0727854109449476,2.90684394211331,2.6323396452755,15.5382142165983,24.4707486351767,FALSE,FALSE,"US-Var","biweekly","VPD",14,"weeks","2000-10-30","2021-10-04",547,537,514,"2021-10-04","2001-03-19"
8,0.133130722824724,0.175935126346985,0.388978155587855,0.64415321781947,-0.0523288660910907,0.0727854109449476,2.90375410890589,2.64016752689404,14.7330861252377,24.3981948591448,FALSE,FALSE,"US-Var","biweekly","VPD",16,"weeks","2000-10-30","2021-10-04",547,537,515,"2021-10-04","2001-03-19"
9,0.143135156179411,0.175935126346985,0.404946066834358,0.64415321781947,-0.0879673985481619,0.0727854109449476,2.90427086547036,2.64243467868588,15.3247332886103,24.3772617357496,FALSE,FALSE,"US-Var","biweekly","VPD",18,"weeks","2000-10-30","2021-10-04",547,537,515,"2021-10-04","2001-03-19"
10,0.153322075814591,0.175935126346985,0.415149674386037,0.64415321781947,-0.0608786289498145,0.0727854109449476,2.91007012033379,2.6601041310031,15.6065196676901,24.215338426491,FALSE,FALSE,"US-Var","biweekly","VPD",20,"weeks","2000-10-30","2021-10-04",547,537,515,"2021-10-04","2001-04-02"
11,0.120415448214887,0.175935126346985,0.419452410226246,0.64415321781947,-0.00281687641202092,0.0727854109449476,2.90753783348603,2.66660853178456,15.7298083024409,24.1562722889958,FALSE,FALSE,"US-Var","biweekly","VPD",22,"weeks","2000-10-30","2021-10-04",547,537,513,"2021-10-04","2001-04-16"
12,0.145581250926944,0.175935126346985,0.453520974315643,0.64415321781947,0.0533748745324371,0.0727854109449476,2.88766809377436,2.69136407041514,16.8509708255743,23.9340795584044,FALSE,FALSE,"US-Var","biweekly","VPD",24,"weeks","2000-10-30","2021-10-04",547,537,512,"2021-10-04","2001-04-30"
13,0.16007690472317,0.175935126346985,0.458558033979227,0.64415321781947,0.0706593460420707,0.0727854109449476,2.89033053471606,2.65467436716413,17.2736076277817,24.2648675026606,FALSE,FALSE,"US-Var","biweekly","VPD",26,"weeks","2000-10-30","2021-10-04",547,537,510,"2021-10-04","2001-05-14"
14,0.132989456126184,0.175935126346985,0.471160242791962,0.64415321781947,0.0175268422849264,0.0727854109449476,2.89156795432812,2.64953308031909,17.7827650574273,24.3119522682801,FALSE,FALSE,"US-Var","biweekly","VPD",28,"weeks","2000-10-30","2021-10-04",547,537,509,"2021-10-04","2001-05-28"
15,0.153827745478219,0.175935126346985,0.531723411931905,0.64415321781947,-0.0466555830485392,0.0727854109449476,2.88771560169048,2.65262376216097,20.0451876936642,24.283625405463,FALSE,FALSE,"US-Var","biweekly","VPD",30,"weeks","2000-10-30","2021-10-04",547,537,508,"2021-10-04","2001-07-23"
16,0.159726671100677,0.175935126346985,0.573025504916391,0.64415321781947,-0.0457271443159156,0.0727854109449476,2.89245863228199,2.65250861149143,21.6031534236639,24.2846796058951,FALSE,FALSE,"US-Var","biweekly","VPD",32,"weeks","2000-10-30","2021-10-04",547,537,508,"2021-10-04","2001-07-23"
17,0.197491267247266,0.175935126346985,0.586261810110905,0.64415321781947,-0.0454301445868246,0.0727854109449476,2.8870395217538,2.65457742855135,22.0849391622696,24.265753595705,FALSE,TRUE,"US-Var","biweekly","VPD",34,"weeks","2000-10-30","2021-10-04",547,537,508,"2021-10-04","2001-07-23"
18,0.210320651936081,0.175935126346985,0.570468470806214,0.64415321781947,-0.0531521598437295,0.0727854109449476,2.88963003756732,2.65154380871171,21.514578372491,24.293515939774,FALSE,TRUE,"US-Var","biweekly","VPD",36,"weeks","2000-10-30","2021-10-04",547,537,508,"2021-10-04","2001-07-23"
19,0.177977298530736,0.175935126346985,0.498565927313615,0.64415321781947,-0.0744314853958294,0.0727854109449476,2.90813374334703,2.65423654734424,18.7837790046432,24.2688700245648,FALSE,TRUE,"US-Var","biweekly","VPD",38,"weeks","2000-10-30","2021-10-04",547,537,507,"2021-10-04","2001-08-06"
20,0.2040709520889,0.175935126346985,0.621129071272595,0.64415321781947,0.0163296794698098,0.0727854109449476,2.90879148628344,2.6618427635453,23.3345515287054,24.1995217238724,FALSE,TRUE,"US-Var","biweekly","VPD",40,"weeks","2000-10-30","2021-10-04",547,537,506,"2021-10-04","2001-08-20"
21,0.23229124107923,0.175935126346985,0.554469870695685,0.64415321781947,0.0806649111643387,0.0727854109449476,2.9023579526812,2.66308731909536,20.8205666678641,24.188212425505,FALSE,TRUE,"US-Var","biweekly","VPD",42,"weeks","2000-10-30","2021-10-04",547,537,505,"2021-10-04","2001-09-03"
22,0.213458356094818,0.175935126346985,0.528633460793982,0.64415321781947,0.105284992392598,0.0727854109449476,2.91156424583691,2.6634593635862,19.8476262871233,24.1848337025932,FALSE,TRUE,"US-Var","biweekly","VPD",44,"weeks","2000-10-30","2021-10-04",547,537,504,"2021-10-04","2001-09-17"
23,0.204835909902785,0.175935126346985,0.550759991724066,0.64415321781947,0.0296554917869931,0.0727854109449476,2.91376824540545,2.65826572454457,20.7187711385936,24.2320852980125,FALSE,TRUE,"US-Var","biweekly","VPD",46,"weeks","2000-10-30","2021-10-04",547,537,503,"2021-10-04","2001-10-01"
