"Time","expected_hours","ET_mm_day","coverage_ET_mm_day","seasonal_ET_mm_day","analysis_ET_mm_day","log10_psi_soil","coverage_log10_psi_soil","seasonal_log10_psi_soil","analysis_log10_psi_soil","VPD","coverage_VPD","seasonal_VPD","analysis_VPD","ET_total_mm"
2000-10-16,336,NA,0.0416666666666667,NA,NA,NA,0.592261904761905,NA,NA,NA,0.592261904761905,NA,NA,NA
2000-10-30,336,0.883633364772068,0.988095238095238,0.524145944633431,0.359487420138637,3.06964332639861,1,4.40613022784926,-1.33648690145065,3.74072619047619,1,6.99113825523518,-3.25041206475899,12.3708671068089
2000-11-13,336,0.548728434141189,0.889880952380952,0.481859308766409,0.0668691253747802,3.43375179589344,1,4.04793159280991,-0.614179796916463,2.43267113095238,1,4.91970455907617,-2.48703342812379,7.68219807797664
2000-11-27,336,0.553343047141846,0.985119047619048,0.425241683855299,0.128101363286547,3.45724750668297,1,3.67897430429333,-0.221726797610353,1.31140327380952,1,3.53770964069088,-2.22630636688136,7.74680265998584
2000-12-11,336,0.511543080448735,0.994047619047619,0.398587559710356,0.11295552073838,3.28536263608916,0.991071428571429,3.33384656174747,-0.0484839256583092,2.17338541666667,1,2.81314537024083,-0.639759953574165,7.16160312628229
2000-12-25,336,0.547892000386006,1,0.438508733721593,0.109383266664413,3.36844822825562,1,3.05946516169249,0.308983066563133,3.31869196428571,1,2.62229749801211,0.696394466273601,7.67048800540408
2001-01-08,336,0.753785263623006,0.982142857142857,0.575814339912923,0.177970923710083,2.7120246434176,1,2.85107310955052,-0.139048466132922,2.46452678571429,1,2.78182400382027,-0.317297218105987,10.5529936907221
2001-01-22,336,NA,0.151785714285714,NA,NA,2.6026656852865,1,2.74372210806567,-0.141056422779172,3.09722321428571,1,3.14903184771667,-0.0518086334309595,NA
2001-02-05,336,1.10420328698034,0.970238095238095,1.13914678018258,-0.0349434932022352,2.62503607538201,0.875,2.7428407206202,-0.117804645238197,3.44008035714286,1,3.60450793514513,-0.164427578002273,15.4588460177248
2001-02-19,336,1.23116735996501,1,1.50174936693351,-0.270582006968496,NA,0.738095238095238,NA,NA,3.30767410714286,1,4.10524460623238,-0.797570499089525,17.2363430395102
2001-03-05,336,1.65055713310801,0.99702380952381,1.84552651923226,-0.194969386124253,2.74233651924074,0.99702380952381,3.02198884961465,-0.279652330373914,8.8702380952381,1,4.6909261016353,4.17931199360279,23.1077998635122
2001-03-19,336,2.40705543788921,1,2.10895302220513,0.298102415684084,3.4373723924823,1,3.26037258837595,0.176999804106347,6.72509523809524,1,5.46603068365131,1.25906455444393,33.698776130449
2001-04-02,336,2.0960334125895,1,2.2403661750109,-0.144332762421393,3.72723225206586,1,3.53014834395759,0.197083908108268,4.51430059523809,1,6.56233297751843,-2.04803238228034,29.3444677762531
2001-04-16,336,2.64811753873469,1,2.2092438161907,0.438873722543991,3.31797180861209,1,3.80708742136193,-0.489115612749836,5.30433035714286,1,8.09113136351259,-2.78680100636973,37.0736455422857
2001-04-30,336,2.82290841466006,1,2.01318544528277,0.809722969377287,3.91411909258035,1,4.07251615049033,-0.158397057909978,16.9045386904762,1,10.0970979005519,6.80744078992429,39.5207178052408
2001-05-14,336,1.13279447949271,1,1.67900580421519,-0.546211324722478,4.38929419845481,1,4.31500551028306,0.0742886881717526,20.0498363095238,1,12.5254543435357,7.52438196598806,15.859122712898
2001-05-28,336,0.365495874097959,1,1.25766047762578,-0.892164603527817,4.48603587869524,0.985119047619048,4.53014522571253,-0.0441093470172911,20.1129270833333,1,15.2112513381679,4.90167574516543,5.11694223737143
2001-06-11,336,0.156894506055973,0.99702380952381,0.81409890564236,-0.657204399586387,NA,0.166666666666667,NA,NA,25.801255952381,1,17.8945286539934,7.90672729838755,2.19652308478362
2001-06-25,336,0.23883305732548,0.994047619047619,0.414270199904221,-0.175437142578741,NA,0.568452380952381,NA,NA,23.4070892857143,1,20.2591981810382,3.14789110467606,3.34366280255671
2001-07-09,336,0.13962452870862,0.99702380952381,0.112135581231802,0.0274889474768179,5.58220902445999,1,5.02537984328038,0.556829181179611,13.8432023809524,1,21.9879718560923,-8.14476947513996,1.95474340192068
2001-07-23,336,0.113028420392761,0.946428571428571,-0.0604737619467123,0.173502182339473,5.62375521338861,1,5.14300221686176,0.48075299652685,17.6163616071429,1,22.8218166993973,-5.20545509225449,1.58239788549865
2001-08-06,336,0.0908919408286342,0.967261904761905,-0.0989688638816512,0.189860804710285,5.6909087475346,1,5.22878035047373,0.462128397060868,23.0342038690476,1,22.6111434357473,0.423060433300336,1.27248717160088
2001-08-20,336,0.0914417222798834,1,-0.0250449354414807,0.116486657721364,5.74106310815204,1,5.27095233277654,0.470110775375502,18.6180773809524,1,21.3475282100678,-2.72945082911546,1.28018411191837
2001-09-03,336,0.0857963547355331,0.955357142857143,0.120013338136104,-0.0342169834005704,5.77562543188621,1,5.25548359771275,0.520141834173458,16.4381875,1,19.1688828106489,-2.73069531064889,1.20114896629746
2001-09-17,336,0.310698727079379,0.99702380952381,0.286138288532402,0.0245604385469768,5.70398067305664,1,5.1695167104867,0.534463962569935,14.8429464285714,1,16.3367091130576,-1.49376268448617,4.3497821791113
2001-10-01,336,0.164508732894991,0.982142857142857,0.426856990750004,-0.262348257855014,5.57162420035166,0.979166666666667,5.00524243776407,0.566381762587588,15.2548958333333,1,13.190115044496,2.06478078883732,2.30312226052987
2001-10-15,336,0.0849046190278013,0.946428571428571,0.510366799115018,-0.425462180087216,5.62782571372564,1,4.76325666334977,0.864569050375865,9.90204761904762,1,10.0862753966802,-0.184227777632596,1.18866466638922
2001-10-29,336,0.420392532327114,1,0.526759533043184,-0.10636700071607,4.98335957479478,1,4.45454807936274,0.528811495432041,6.8565193452381,1,7.33986842338521,-0.483349078147117,5.88549545257959
2001-11-12,336,0.529627001142857,0.994047619047619,0.489751154841043,0.0398758463018142,3.48776917664605,1,4.10054178923282,-0.612772612586767,2.79799404761905,1,5.17407403944331,-2.37607999182427,7.414778016
2001-11-26,336,0.575159974811331,0.99702380952381,0.432553647396626,0.142606327414705,2.93783993986778,1,3.73104205132929,-0.793202111461509,2.14875892857143,1,3.69297938786289,-1.54422045929146,8.05223964735863
2001-12-10,336,0.59621686058309,1,0.398886584390937,0.197330276192154,2.74609175296359,1,3.3803796345779,-0.63428788161431,2.20154464285714,1,2.88033236905613,-0.67878772619899,8.34703604816327
2001-12-24,336,0.358232901034828,0.994047619047619,0.431256332899635,-0.0730234318648066,2.69919415549745,1,3.08247137817763,-0.383277222680182,1.30159077380952,1,2.62363157221183,-1.32204079840231,5.0152606144876
2002-01-07,336,0.51223047042243,0.979166666666667,0.562513413064461,-0.0502829426420309,2.90196434703589,1,2.86275026296856,0.0392140840673281,1.51808928571429,1,2.761744774319,-1.24365548860472,7.17122658591402
2002-01-21,336,0.702271860874636,1,0.795778799472114,-0.0935069385974783,2.92641957305902,1,2.74785009279678,0.178569480262237,2.32386607142857,1,3.11885260105363,-0.794986529625058,9.8318060522449
2002-02-04,336,0.92570980077551,1,1.11413560962325,-0.188425808847742,2.91353755919631,1,2.73945577519785,0.174081783998459,3.14889880952381,1,3.57044969395791,-0.421550884434104,12.9599372108571
2002-02-18,336,1.54066948074052,1,1.47573333479791,0.0649361459426148,2.92039624204335,1,2.83139668033561,0.0889995617077375,4.56187648809524,1,4.0675693500989,0.494307137996341,21.5693727303673
2002-03-04,336,1.57430072534694,1,1.8229330459908,-0.248632320643862,2.8513866953036,1,3.00686311860987,-0.155476423306274,3.30147916666667,1,4.64430937338842,-1.34283020672176,22.0402101548571
2002-03-18,336,2.22551246419242,1,2.09400084035981,0.131511623832609,2.91694794135348,0.99702380952381,3.24199410143923,-0.325046160085749,5.67728422619048,1,5.40157536997996,0.275708856210514,31.1571744986939
2002-04-01,336,2.3008111463965,1,2.23615859051829,0.064652555878209,3.54659741578728,1,3.51037957875979,0.0362178370274888,4.6660505952381,1,6.47071971901607,-1.80466912377797,32.211356049551
2002-04-15,336,2.27730274026822,1,2.2170798067552,0.0602229335130202,4.42509947425897,1,3.78750618635061,0.63759328790836,6.17183779761905,1,7.96612372381357,-1.79428592619452,31.8822383637551
2002-04-29,336,1.71954908810029,1,2.0322443606183,-0.312695272518013,4.8280145350705,1,4.05422513225824,0.773789402812268,8.64406101190476,1,9.93852476663497,-1.2944637547302,24.0736872334041
2002-05-13,336,1.31158854367347,1,1.70647855355981,-0.394890009886338,4.50771975374781,1,4.29857489779316,0.209144855954642,10.4020595238095,1,12.3409006686753,-1.93884114486575,18.3622396114286
2002-05-27,336,1.19613563320933,1,1.28930055903502,-0.093164925825695,4.24806176791844,1,4.51569029582865,-0.267628527910208,16.4865014880952,1,15.0159771497358,1.47052433835947,16.7458988649306
2002-06-10,336,0.377179497467055,1,0.845072978995379,-0.467893481528323,4.54267301322356,1,4.70598093981718,-0.163307926593622,15.579525297619,1,17.7095398055558,-2.13001450793679,5.28051296453877
2002-06-24,336,0.210213700845481,1,0.440121333331495,-0.229907632486014,4.70171766997981,1,4.87216266169804,-0.17044499171823,19.6270625,1,20.1078187785736,-0.480756278573633,2.94299181183673
2002-07-08,336,0.17367407256095,0.99702380952381,0.129647865757004,0.0440262068039466,4.85128248638969,1,5.01598335838683,-0.164700871997136,25.6788214285714,1,21.8916202525486,3.78720117602284,2.43143701585331
2002-07-22,336,0.138102453236152,1,-0.0526973416391869,0.190799794875338,4.95966572577122,1,5.13554162685134,-0.17587590108012,16.0746443452381,1,22.7958837038103,-6.72123935857223,1.93343434530612
2002-08-05,336,0.129460926227405,1,-0.100337914393092,0.229798840620497,5.0434608142756,1,5.22394015396832,-0.180479339692721,24.050431547619,1,22.6618672553245,1.38856429229453,1.81245296718367
2002-08-19,336,0.122117234011662,1,-0.0332522190360998,0.155369453047762,5.10839308826878,1,5.26968298848183,-0.161289900213048,19.2223422619048,1,21.4705554710113,-2.24821320910656,1.70964127616327
2002-09-02,336,0.112231642460641,1,0.108351690155426,0.00387995230521539,5.16083380588229,1,5.25879395727361,-0.0979601513913115,23.0303913690476,1,19.3498442247867,3.68054714426089,1.57124299444898
2002-09-16,336,0.0947049553994169,1,0.274625245084291,-0.179920289684874,5.20716964304351,1,5.17820289153004,0.0289667515134742,21.6623824404762,1,16.5537027474049,5.10867969307125,1.32586937559184
2002-09-30,336,0.083018055374344,1,0.418439958390185,-0.335421903015841,5.24787651194318,1,5.01961723175769,0.228259280185484,18.1455327380952,1,13.417577516319,4.72795522177622,1.16225277524082
2002-10-14,336,0.0815909013760933,1,0.5066480225998,-0.425057121223707,5.27604616817857,1,4.78294621451864,0.493099953659931,7.43448363095238,1,10.2994243158187,-2.8649406848663,1.14227261926531
2002-10-28,336,0.261284770915452,1,0.527649570863887,-0.266364799948435,4.86948401027697,1,4.47840972851786,0.391074281759106,7.95573214285714,1,7.51878453327781,0.436947609579338,3.65798679281633
2002-11-11,336,0.528655727403499,1,0.493543239322275,0.035112488081224,3.54054164287843,1,4.12673143000321,-0.586189787124773,3.6573556547619,1,5.30658403490847,-1.64922838014657,7.40118018364898
2002-11-25,336,0.530299826291545,1,0.436398891123558,0.0939009351679874,3.77155426569003,1,3.75722679220668,0.0143274734833474,4.30746875,1,3.7757786481894,0.531690101810602,7.42419756808163
2002-12-09,336,0.568806719988805,1,0.399556886601669,0.169249833387136,3.10485860466224,1,3.40405932143541,-0.299200716773172,1.9869806547619,1,2.9181872114787,-0.931206556716795,7.96329407984326
2002-12-23,336,0.505821673432653,1,0.426014767425895,0.0798069060067578,2.82985598070685,1,3.10134789685248,-0.271491916145631,2.60503869047619,1,2.62693200721766,-0.0218933167414717,7.08150342805714
2003-01-06,336,0.502410135285656,1,0.549751239702193,-0.047341104416537,2.86619202580172,1,2.87494376316697,-0.00875173736524681,1.30680208333333,1,2.74276058586319,-1.43595850252986,7.03374189399918
2003-01-20,336,0.677029989568513,1,0.775931708456244,-0.0989017188877307,2.90950330965754,1,2.75252689282432,0.156976416833218,1.25977232142857,1,3.08912237877246,-1.82935005734389,9.47841985395918
2003-02-03,336,1.07230866513586,1,1.08935196483916,-0.0170432997032952,3.06535332470416,1,2.73658734453188,0.328765980172282,3.89124255952381,1,3.536587150853,0.354655408670807,15.012321311902
2003-02-17,336,1.38233769529658,0.988095238095238,1.44964565518557,-0.0673079598889905,2.96008871405144,1,2.82181011643785,0.138278597613589,3.25102827380952,1,4.03027088229616,-0.779242608486641,19.3527277341522
2003-03-03,336,1.76014220499708,1,1.79994726564698,-0.039805060649899,3.26072053788226,1,2.99204287314855,0.268677664733712,3.81788244047619,1,4.59860016820834,-0.78071772773215,24.6419908699592
2003-03-17,336,2.46313482202915,1,2.07838206128055,0.384752760748605,3.00347263737771,1,3.22378442051117,-0.220311783133462,4.87762946428571,1,5.33871849302091,-0.461089028735191,34.4838875084082
2003-03-31,336,1.98629452214787,0.991071428571429,2.23111626881043,-0.244821746662569,3.14287576567738,1,3.49065304551286,-0.347777279835483,4.07629761904762,1,6.3813089093186,-2.30501129027098,27.8081233100701
2003-04-14,336,2.23713360750437,1,2.22405732453957,0.0130762829648003,2.9059589116753,1,3.76786869875069,-0.861909787075393,3.64724553571429,1,7.84359235889441,-4.19634682318013,31.3198705050612
2003-04-28,336,2.53106993588381,0.99702380952381,2.05057349540313,0.480496440480684,2.94837358429079,1,4.03581688254253,-1.08744329825174,4.14854613095238,1,9.78219352801782,-5.63364739706544,35.4349791023734
2003-05-12,336,2.47932191336994,0.785714285714286,1.7334784577623,0.745843455607643,3.67703994530118,1,4.28200303616026,-0.604963090859082,10.4771919642857,1,12.157780737787,-1.68058877350126,34.7105067871792
2003-05-26,336,1.73578885292506,0.99702380952381,1.32080179020341,0.41498706272165,4.38909147737726,1,4.50109751167496,-0.112006034297695,13.8634151785714,1,14.820823451539,-0.957408272967564,24.3010439409508
2003-06-09,336,0.497887228915452,1,0.87625230037663,-0.378365071461178,4.59570199094128,1,4.69322242137213,-0.0975204304308441,12.1538273809524,1,17.5230470216262,-5.3692196406738,6.97042120481633
2003-06-23,336,0.190120294583563,0.991071428571429,0.466463901815416,-0.276343607231853,4.6824321271718,1,4.86103907787166,-0.178606950699858,25.4179404761905,1,19.9532809600564,5.46465951613412,2.66168412416988
2003-07-07,336,0.145117325755102,1,0.147825671243071,-0.002708345487969,4.7756562914027,1,5.00646530117393,-0.230809009771228,27.3169255952381,1,21.7907351422167,5.52619045302137,2.03164256057143
2003-07-21,336,0.323545748594169,1,-0.0442220807349795,0.367767829329149,4.83854844232776,1,5.12792410480977,-0.289375662482001,23.5211145833333,1,22.7645927271004,0.756521856232968,4.52964048031837
2003-08-04,336,0.365732205622741,1,-0.101112820473521,0.466845026096261,4.67822699746487,1,5.21888345003489,-0.540656452570023,18.5991889880952,1,22.7071329317043,-4.10794394360905,5.12025087871837
2003-08-18,336,0.370257122933528,1,-0.0410751263670052,0.411332249300533,4.69259198199912,1,5.26812435161849,-0.575532369619371,19.0033511904762,1,21.5887861823075,-2.5854349918313,5.18359972106939
2003-09-01,336,0.152062520008017,0.994047619047619,0.0968146925321216,0.055247827475895,4.74750951340685,1,5.26174664746606,-0.514237134059213,19.6576696428571,1,19.5273242632876,0.130345379569526,2.12887528011223
2003-09-15,336,0.117584579267055,1,0.262991485624442,-0.145406906357386,4.80843147415676,1,5.18648759499502,-0.378056120838259,19.1904375,1,16.7689521366885,2.42148536331152,1.64618410973878
