"time","analysis_ET_mm_day","analysis_VPD","analysis_log10_psi_soil"
2000-10-30,0.379302979431333,-8.41675491184108,-1.946418694768
2000-10-31,0.614336564418032,-7.10608900679793,-1.82797256616297
2000-11-01,0.377214121142607,-3.98943981842959,-1.72103633715762
2000-11-02,0.524286976898625,-5.01529506417194,-1.61405226296079
2000-11-03,0.680619343770046,-2.2987662955669,-1.52575518620296
2000-11-04,0.619959028740452,-1.24917202497447,-1.45005115025687
2000-11-05,0.327336432112701,-4.42678751771821,-1.299551098728
2000-11-06,0.850309223624765,-1.24349041682226,-1.10842711853294
2000-11-07,0.405212359163393,-0.650448034172431,-1.04515714916892
2000-11-08,0.38910469135523,-1.90770047527316,-0.991989342487761
2000-11-09,0.385620337407253,-2.98209793144409,-0.944097511637354
2000-11-10,0.25611935211619,-3.67692547330379,-0.9210419747896
2000-11-11,0.283996028007639,-2.93690284605654,-0.871586202085845
2000-11-12,0.379060878212424,-1.16920510043312,-0.801916811437119
2000-11-13,0.185897568302892,-3.31192072646882,-0.752772291390533
2000-11-14,0.106393610497889,-3.4888847906338,-0.741025297447438
2000-11-15,0.107849917891966,-3.60351207682752,-0.701766158761972
2000-11-16,0.0984256735901808,-2.74215106507767,-0.661288625461894
2000-11-17,0.176824531508254,-0.79712541511179,-0.619253822574076
2000-11-18,0.126557365598093,-0.375296288628506,-0.58450257414834
2000-11-19,0.0120826986258017,-0.676291344087207,-0.526666728249073
2000-11-20,0.038730660215904,0.391474595508718,-0.451231796666337
2000-11-21,-0.0230531891262676,-2.21915863196219,-0.420498341552506
2000-11-22,-0.0768162387454105,-3.37107554288906,-0.382660783671876
2000-11-23,-0.0447579397117518,-2.46069736409115,-0.342598255795023
2000-11-24,-0.190907231978626,-2.3713152304155,-0.269400756280196
2000-11-25,NA,NA,NA
2000-11-26,NA,NA,NA
2000-11-27,-0.188093237716143,-2.76270662653779,-0.112160539084478
2000-11-28,-0.157849615039158,-2.81623891879948,-0.145961212307235
2000-11-29,0.00922504002746594,-2.08095491686661,-0.203194906815821
2000-11-30,0.0459724524851478,-0.544487855870174,-0.172059279263761
2000-12-01,0.00171162055217944,-1.60809018743601,-0.168727688907934
